id,produto,quantidade,preço,data
52,guitarra elétrica fender,3,6999.00,20/02/2024
53,amplificador de guitarra,4,2499.00,21/02/2024
54,pedaleira preta,1,899.00,22/02/2024
55,cabo para instrumento ninja,10,99.00,23/02/2024
56,palheta dunlop,20,5.00,24/02/2024
57,afinador digital,6,199.00,25/02/2024
58,capotraste,8,149.00,26/02/2024
59,suporte para guitarra,7,79.00,27/02/2024
60,correia para guitarra,9,59.00,28/02/2024
61,encordoamento para guitarra,12,99.00,01/03/2024
62,violão acústico,3,1299.00,02/03/2024
63,capa para violão,5,149.00,03/03/2024
64,banqueta para violão,6,199.00,04/03/2024
65,limpador de cordas,8,59.00,05/03/2024
66,flauta transversal,2,5999.00,06/03/2024
67,suporte para flauta,4,199.00,07/03/2024
68,estojo para flauta,9,399.00,08/03/2024
70,saxofone,4,7999.00,10/03/2024
71,suporte para saxofone,5,129.00,11/03/2024
76,teclado musical casio,2,2999.00,16/03/2024
77,sintetizador de voz,3,1999.00,17/03/2024
78,controlador com cabo usb,4,699.00,18/03/2024
79,caixa de som jbl,2,499.00,19/03/2024
80,microfone sem fio shure,3,3999.00,20/03/2024
81,pedestal para microfone,6,299.00,21/03/2024
82,cabo para microfone,7,49.00,22/03/2024
83,caixa acústica,8,1499.00,24/03/2024
85,mixer de áudio behringer,2,1999.00,25/03/2024
86,fone de ouvido profissional akg,3,899.00,27/03/2024
88,monitor yamaha hs5,2,1999.00,28/03/2024
