id,produto,quantidade,preço,data
89,arroz 5kg,2,18.00,15/03/2024
90,feijão 1kg,4,7.50,16/03/2024
91,açúcar 1kg,3,4.50,17/03/2024
92,óleo de soja 900ml,2,8.00,18/03/2024
93,farinha de trigo 1kg,2,6.50,19/03/2024
94,café 500g,3,16.00,20/03/2024
95,leite 1L,12,4.80,21/03/2024
96,macarrão 500g,5,5.50,22/03/2024
97,sal 1kg,1,2.50,23/03/2024
98,margarina 500g,2,6.00,24/03/2024
99,ovo dúzia,2,14.00,25/03/2024
100,carne bovina 1kg,3,45.00,26/03/2024
101,frango 1kg,2,13.50,27/03/2024
102,batata 2kg,1,10.00,28/03/2024
103,cebola 1kg,2,6.00,29/03/2024
104,tomate 1kg,2,9.50,30/03/2024
105,couve 1 maço,1,4.00,01/04/2024
106,cenoura 1kg,1,5.00,02/04/2024
107,banana 1kg,2,7.50,03/04/2024
108,maçã 1kg,1,8.00,04/04/2024
109,pão francês 1kg,1,12.00,05/04/2024
110,queijo muçarela 500g,1,35.00,06/04/2024
111,queijo prato 500g,1,36.00,07/04/2024
112,presunto 500g,1,28.00,08/04/2024
113,linguiça 1kg,1,20.00,09/04/2024
114,água mineral 1.5L,12,2.20,10/04/2024
115,refrigerante 2L,4,10.00,11/04/2024
116,detergente 500ml,4,3.00,12/04/2024
117,sabão em pó 1kg,2,18.00,13/04/2024
118,sabonete 90g,6,3.00,14/04/2024
119,papel higiênico 4 unid.,3,13.00,15/04/2024
120,creme dental 90g,2,5.00,16/04/2024
121,shampoo 200ml,1,12.00,17/04/2024
122,condicionador 200ml,1,14.00,18/04/2024
123,esponja de aço 8 unid.,1,5.00,19/04/2024
124,vinagre 500ml,2,3.80,20/04/2024
125,extrato de tomate 340g,2,7.00,21/04/2024
126,ervilha 300g,2,6.00,22/04/2024
127,milho verde 300g,2,6.50,23/04/2024
128,fermento em pó 100g,1,4.00,24/04/2024
